Date,High,Low,Open,Close,Volume,Adj Close
2019-06-18,9149.763671875,8988.6064453125,9128.26953125,9062.0458984375,952850,9062.0458984375
2019-06-19,9277.677734375,9051.0947265625,9068.1748046875,9271.4599609375,131077,9271.4599609375
2019-06-20,9573.689453125,9209.4169921875,9271.5673828125,9519.2001953125,83052,9519.2001953125
2019-06-21,10130.935546875,9526.833984375,9526.833984375,10127.998046875,76227,10127.998046875
2019-06-22,11171.013671875,10083.189453125,10151.890625,10719.9814453125,84485,10719.9814453125
2019-06-23,11293.7734375,10561.1240234375,10718.1171875,11246.5185546875,52072,11246.5185546875
2019-06-24,11251.15625,10659.14453125,11246.5185546875,11010.517578125,106205,11010.517578125
2019-06-25,11676.888671875,10999.7333984375,10999.7333984375,11666.9658203125,95820,11666.9658203125
2019-06-26,13739.3291015625,11631.251953125,11666.9658203125,12827.6630859375,67574,12827.6630859375
2019-06-27,13022.9814453125,10452.1513671875,12827.6630859375,11136.2119140625,117404,11136.2119140625
2019-06-28,12430.3486328125,10863.2099609375,11152.9033203125,12398.671875,96399,12398.671875
2019-06-29,12409.884765625,11521.609375,12409.884765625,11915.46484375,44215,11915.46484375
2019-06-30,12138.6005859375,10757.251953125,11905.12890625,10757.251953125,12704,10757.251953125
2019-07-01,11199.1416015625,10060.44140625,10757.251953125,10538.94140625,18800,10538.94140625
2019-07-02,10895.9755859375,9631.0263671875,10546.2900390625,10840.748046875,41470,10840.748046875
2019-07-03,11951.7666015625,10841.888671875,10841.888671875,11940.806640625,54592,11940.806640625
2019-07-04,12001.2685546875,11174.3046875,11940.2607421875,11199.02734375,6803,11199.02734375
2019-07-05,11417.396484375,10875.3779296875,11192.21484375,10985.6025390625,32516,10985.6025390625
2019-07-06,11614.435546875,10985.306640625,10985.306640625,11230.970703125,19273,11230.970703125
2019-07-07,12058.25,11162.3779296875,11230.369140625,11592.7060546875,38151,11592.7060546875
2019-07-08,12309.2314453125,11368.134765625,11593.509765625,12256.126953125,60043,12256.126953125
2019-07-09,12744.650390625,12235.33984375,12259.25390625,12521.6328125,59686,12521.6328125
2019-07-10,13111.345703125,11714.1650390625,12519.2880859375,12133.44140625,56542,12133.44140625
2019-07-11,12134.4228515625,11194.4560546875,12134.4228515625,11660.2841796875,206567,11660.2841796875
2019-07-12,12320.4521484375,11339.5810546875,11663.8125,11652.4599609375,437704,11652.4599609375
2019-07-13,12209.8271484375,10979.837890625,11651.4658203125,11515.6640625,842523,11515.6640625
2019-07-14,11641.4892578125,10241.9130859375,11447.6455078125,10241.9130859375,414119,10241.9130859375
2019-07-15,11078.4111328125,9725.7919921875,10143.9716796875,10926.46484375,431893,10926.46484375
2019-07-16,12246.306640625,9673.83984375,10987.5576171875,9717.0380859375,485403,9717.0380859375
2019-07-17,10002.2060546875,9138.09375,9833.953125,9685.8837890625,444337,9685.8837890625
2019-07-18,10660.923828125,9239.6025390625,9689.37109375,10548.814453125,321096,10548.814453125
2019-07-19,10825.875,10193.408203125,10548.814453125,10572.6552734375,122121,10572.6552734375
2019-07-20,11314.2138671875,10265.41796875,10597.6796875,10913.607421875,240565,10913.607421875
2019-07-21,11229.353515625,10204.16796875,10913.607421875,10792.9912109375,145889,10792.9912109375
2019-07-22,10975.2255859375,10195.4619140625,10793.25390625,10556.0078125,225410,10556.0078125
2019-07-23,39504.62890625,8098.7900390625,10555.6884765625,9900.4453125,367821,9900.4453125
2019-07-24,10894.75,9115.7041015625,9900.4453125,9882.2607421875,81862,9882.2607421875
2019-07-25,10546.2021484375,9635.5712890625,9856.2109375,9840.3310546875,10967,9840.3310546875
2019-07-26,10003.7177734375,9641.31640625,9812.7080078125,9869.240234375,11464,9869.240234375
2019-07-27,10722.1982421875,9854.7236328125,9869.240234375,10295.5927734375,43797,10295.5927734375
2019-07-28,10814.2158203125,9866.9423828125,10295.5927734375,10002.8681640625,209195,10002.8681640625
2019-07-29,10587.529296875,9647.9814453125,9998.833984375,9950.451171875,362786,9950.451171875
2019-07-30,10064.1181640625,8893.6318359375,9825.2392578125,9578.966796875,204983,9578.966796875
2019-07-31,10681.6865234375,9548.8525390625,9567.248046875,10132.2978515625,100753,10132.2978515625
2019-08-01,10549.6875,9411.796875,10214.501953125,10457.677734375,112061,10457.677734375
2019-08-02,13505.8056640625,9548.7763671875,10519.310546875,10626.240234375,186035,10626.240234375
2019-08-03,14391.3720703125,9896.265625,10625.5234375,10860.224609375,99920,10860.224609375
2019-08-04,11855.05859375,10075.2197265625,10781.0244140625,10979.3984375,56532,10979.3984375
2019-08-05,14664.880859375,10792.6875,10976.3544921875,11939.71484375,193825,11939.71484375
2019-08-06,12516.666015625,11311.8291015625,12116.7001953125,11503.787109375,114939,11503.787109375
2019-08-07,17742.109375,11415.7685546875,11503.5380859375,15917.9130859375,84101,15917.9130859375
